migration_key,source_shopify_handle,name,source_title,slug,description,source_description_html,description_plain_text,price,compare_at_price,available_on,status,brand,weight,weight_unit,meta_title,meta_description,verified_feature_summary,title_change_reason,title_confidence,requires_review,primary_taxon_path,category_confidence,category_reason,variants,variant_skus,variant_count,images,image_count,image_alt_texts,tags,tag_count,story_title,story_introduction,story_module_design,story_module_experience,story_module_feature_focus,story_module_use_case,story_module_buyer_note,story_module_closing,story_eligible,story_editorial_status,story_media_refs,story_media_count,redirect_required,redirect_from,redirect_to
carbon-fibre-under-tail-for-bmw-s1000rr-2018-22,carbon-fibre-under-tail-for-bmw-s1000rr-2018-22,Oya Carbon Fibre Under Tail for BMW S1000RR 2018-22,Carbon Fibre Under Tail for BMW S1000RR 2018-22,carbon-fibre-under-tail-for-bmw-s1000rr-2018-22,"Material: High quality Toray Prepreg(dry carbon), 3K/6K/12K Plain/Twill carbon fiber weave.","<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Material: High quality Toray Prepreg(dry carbon), 3K/6K/12K Plain/Twill carbon fiber weave.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Color: Red/Yellow/Blue/Green/Silver/Black/Grey and others. </span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Finish: Glossy &amp; Matte finishing, UV protection from fading or yellowing.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Fitting: Pre-drilled holes and pre-buried accessories to bolt on directly and easily, same as OEM.</span></p>","Material: High quality Toray Prepreg(dry carbon), 3K/6K/12K Plain/Twill carbon fiber weave.

Color: Red/Yellow/Blue/Green/Silver/Black/Grey and others. 

Finish: Glossy & Matte finishing, UV protection from fading or yellowing.

Fitting: Pre-drilled holes and pre-buried accessories to bolt on directly and easily, same as OEM.",22200,,2026-07-26,active,Oya,4000,g,Oya Carbon Fibre Under Tail for BMW S1000RR 2018-22 | Mile 27 …,"Material: High quality Toray Prepreg(dry carbon), 3K/6K/12K Plain/Twill carbon fiber weave.",,"Removed location/price noise, normalised format",High,false,Motorcycle Accessories > Bodywork & Carbon Parts,High,"Mapped from Shopify Type ""Carbon Parts""",carbon-fibre-under-tail-for-bmw-s1000rr-2018-22-1|Default Title|price:22200.00|compare:|weight:4000|barcode:|qty:0,carbon-fibre-under-tail-for-bmw-s1000rr-2018-22-1,1,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/20170417133240264.jpg?v=1659954448|pos:1|alt:Oya Oya Carbon Fibre Under Tail for BMW S1000RR 2018-22 – front view,1,Oya Oya Carbon Fibre Under Tail for BMW S1000RR 2018-22 – front view,,0,,,,,,,,,false,not_eligible,,0,false,/products/carbon-fibre-under-tail-for-bmw-s1000rr-2018-22,/products/carbon-fibre-under-tail-for-bmw-s1000rr-2018-22
carbon-fibre-rear-seat-upper-for-bmw-s1000rr-2018-22,carbon-fibre-rear-seat-upper-for-bmw-s1000rr-2018-22,Oya Carbon Fibre Rear Seat (Upper) for BMW S1000RR 2018-22,Carbon Fibre Rear Seat (Upper) for BMW S1000RR 2018-22,carbon-fibre-rear-seat-upper-for-bmw-s1000rr-2018-22,"Material: High quality Toray Prepreg(dry carbon), 3K/6K/12K Plain/Twill carbon fiber weave.","<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Material: High quality Toray Prepreg(dry carbon), 3K/6K/12K Plain/Twill carbon fiber weave.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Color: Red/Yellow/Blue/Green/Silver/Black/Grey and others. </span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Finish: Glossy &amp; Matte finishing, UV protection from fading or yellowing.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Fitting: Pre-drilled holes and pre-buried accessories to bolt on directly and easily, same as OEM.</span></p>","Material: High quality Toray Prepreg(dry carbon), 3K/6K/12K Plain/Twill carbon fiber weave.

Color: Red/Yellow/Blue/Green/Silver/Black/Grey and others. 

Finish: Glossy & Matte finishing, UV protection from fading or yellowing.

Fitting: Pre-drilled holes and pre-buried accessories to bolt on directly and easily, same as OEM.",18200,,2026-07-26,active,Oya,4000,g,Oya Carbon Fibre Rear Seat (Upper) for BMW S1000RR 2018-22 | M…,"Material: High quality Toray Prepreg(dry carbon), 3K/6K/12K Plain/Twill carbon fiber weave.",,"Removed location/price noise, normalised format",High,false,Motorcycle Accessories > Bodywork & Carbon Parts,High,"Mapped from Shopify Type ""Carbon Parts""",carbon-fibre-rear-seat-upper-for-bmw-s1000rr-2018-22-1|Default Title|price:18200.00|compare:|weight:4000|barcode:|qty:0,carbon-fibre-rear-seat-upper-for-bmw-s1000rr-2018-22-1,1,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/201704171331401260.jpg?v=1659954067|pos:1|alt:Oya Oya Carbon Fibre Rear Seat (Upper) for BMW S1000RR 2018-22 – front view,1,Oya Oya Carbon Fibre Rear Seat (Upper) for BMW S1000RR 2018-22 – front view,,0,,,,,,,,,false,not_eligible,,0,false,/products/carbon-fibre-rear-seat-upper-for-bmw-s1000rr-2018-22,/products/carbon-fibre-rear-seat-upper-for-bmw-s1000rr-2018-22
carbon-fibre-tail-fairing-for-bmw-s1000rr-2018-22,carbon-fibre-tail-fairing-for-bmw-s1000rr-2018-22,Oya Carbon Fibre Tail Fairing for BMW S1000RR 2018-22,Carbon Fibre Tail Fairing for BMW S1000RR 2018-22,carbon-fibre-tail-fairing-for-bmw-s1000rr-2018-22,"Material: High quality Toray Prepreg(dry carbon), 3K/6K/12K Plain/Twill carbon fiber weave.","<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Material: High quality Toray Prepreg(dry carbon), 3K/6K/12K Plain/Twill carbon fiber weave.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Color: Red/Yellow/Blue/Green/Silver/Black/Grey and others. </span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Finish: Glossy &amp; Matte finishing, UV protection from fading or yellowing.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Fitting: Pre-drilled holes and pre-buried accessories to bolt on directly and easily, same as OEM.</span></p>","Material: High quality Toray Prepreg(dry carbon), 3K/6K/12K Plain/Twill carbon fiber weave.

Color: Red/Yellow/Blue/Green/Silver/Black/Grey and others. 

Finish: Glossy & Matte finishing, UV protection from fading or yellowing.

Fitting: Pre-drilled holes and pre-buried accessories to bolt on directly and easily, same as OEM.",18200,,2026-07-26,active,Oya,4000,g,Oya Carbon Fibre Tail Fairing for BMW S1000RR 2018-22 | Mile 2…,"Material: High quality Toray Prepreg(dry carbon), 3K/6K/12K Plain/Twill carbon fiber weave.",,"Removed location/price noise, normalised format",High,false,Motorcycle Accessories > Bodywork & Carbon Parts,High,"Mapped from Shopify Type ""Carbon Parts""",carbon-fibre-tail-fairing-for-bmw-s1000rr-2018-22-1|Default Title|price:18200.00|compare:|weight:4000|barcode:|qty:0,carbon-fibre-tail-fairing-for-bmw-s1000rr-2018-22-1,1,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/201704171332146592.jpg?v=1659953864|pos:1|alt:Oya Oya Carbon Fibre Tail Fairing for BMW S1000RR 2018-22 – front view,1,Oya Oya Carbon Fibre Tail Fairing for BMW S1000RR 2018-22 – front view,,0,,,,,,,,,false,not_eligible,,0,false,/products/carbon-fibre-tail-fairing-for-bmw-s1000rr-2018-22,/products/carbon-fibre-tail-fairing-for-bmw-s1000rr-2018-22
carbon-fibre-sprocket-cover-for-bmw-s1000rr-2018-22,carbon-fibre-sprocket-cover-for-bmw-s1000rr-2018-22,Oya Carbon Fibre Sprocket Cover for BMW S1000RR 2018-22,Carbon Fibre Sprocket Cover for BMW S1000RR 2018-22,carbon-fibre-sprocket-cover-for-bmw-s1000rr-2018-22,"Material: High quality Toray Prepreg(dry carbon), 3K/6K/12K Plain/Twill carbon fiber weave.","<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Material: High quality Toray Prepreg(dry carbon), 3K/6K/12K Plain/Twill carbon fiber weave.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Color: Red/Yellow/Blue/Green/Silver/Black/Grey and others. </span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Finish: Glossy &amp; Matte finishing, UV protection from fading or yellowing.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Fitting: Pre-drilled holes and pre-buried accessories to bolt on directly and easily, same as OEM.</span></p>","Material: High quality Toray Prepreg(dry carbon), 3K/6K/12K Plain/Twill carbon fiber weave.

Color: Red/Yellow/Blue/Green/Silver/Black/Grey and others. 

Finish: Glossy & Matte finishing, UV protection from fading or yellowing.

Fitting: Pre-drilled holes and pre-buried accessories to bolt on directly and easily, same as OEM.",8100,,2026-07-26,active,Oya,2000,g,Oya Carbon Fibre Sprocket Cover for BMW S1000RR 2018-22 | Mile…,"Material: High quality Toray Prepreg(dry carbon), 3K/6K/12K Plain/Twill carbon fiber weave.",,"Removed location/price noise, normalised format",High,false,Motorcycle Accessories > Bodywork & Carbon Parts,High,"Mapped from Shopify Type ""Carbon Parts""",carbon-fibre-sprocket-cover-for-bmw-s1000rr-2018-22-1|Default Title|price:8100.00|compare:|weight:2000|barcode:|qty:0,carbon-fibre-sprocket-cover-for-bmw-s1000rr-2018-22-1,1,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/201704171329169452.jpg?v=1659953647|pos:1|alt:Oya Oya Carbon Fibre Sprocket Cover for BMW S1000RR 2018-22 – front view,1,Oya Oya Carbon Fibre Sprocket Cover for BMW S1000RR 2018-22 – front view,,0,,,,,,,,,false,not_eligible,,0,false,/products/carbon-fibre-sprocket-cover-for-bmw-s1000rr-2018-22,/products/carbon-fibre-sprocket-cover-for-bmw-s1000rr-2018-22
carbon-fibre-chain-guard-for-bmw-s1000rr-2018-22,carbon-fibre-chain-guard-for-bmw-s1000rr-2018-22,Oya Carbon Fibre Chain Guard for BMW S1000RR 2018-22,Carbon Fibre Chain Guard for BMW S1000RR 2018-22,carbon-fibre-chain-guard-for-bmw-s1000rr-2018-22,"Material: High quality Toray Prepreg(dry carbon), 3K/6K/12K Plain/Twill carbon fiber weave.","<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Material: High quality Toray Prepreg(dry carbon), 3K/6K/12K Plain/Twill carbon fiber weave.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Color: Red/Yellow/Blue/Green/Silver/Black/Grey and others. </span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Finish: Glossy &amp; Matte finishing, UV protection from fading or yellowing.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Fitting: Pre-drilled holes and pre-buried accessories to bolt on directly and easily, same as OEM.</span></p>","Material: High quality Toray Prepreg(dry carbon), 3K/6K/12K Plain/Twill carbon fiber weave.

Color: Red/Yellow/Blue/Green/Silver/Black/Grey and others. 

Finish: Glossy & Matte finishing, UV protection from fading or yellowing.

Fitting: Pre-drilled holes and pre-buried accessories to bolt on directly and easily, same as OEM.",10100,,2026-07-26,active,Oya,3000,g,Oya Carbon Fibre Chain Guard for BMW S1000RR 2018-22 | Mile 27…,"Material: High quality Toray Prepreg(dry carbon), 3K/6K/12K Plain/Twill carbon fiber weave.",,"Removed location/price noise, normalised format",High,false,Motorcycle Accessories > Bodywork & Carbon Parts,High,"Mapped from Shopify Type ""Carbon Parts""",carbon-fibre-chain-guard-for-bmw-s1000rr-2018-22-1|Default Title|price:10100.00|compare:|weight:3000|barcode:|qty:0,carbon-fibre-chain-guard-for-bmw-s1000rr-2018-22-1,1,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/201704171323111297.jpg?v=1659953474|pos:1|alt:Oya Oya Carbon Fibre Chain Guard for BMW S1000RR 2018-22 – front view,1,Oya Oya Carbon Fibre Chain Guard for BMW S1000RR 2018-22 – front view,,0,,,,,,,,,false,not_eligible,,0,false,/products/carbon-fibre-chain-guard-for-bmw-s1000rr-2018-22,/products/carbon-fibre-chain-guard-for-bmw-s1000rr-2018-22
carbon-fibre-side-panels-2-for-bmw-s1000rr-2018-22,carbon-fibre-side-panels-2-for-bmw-s1000rr-2018-22,Oya Carbon Fibre Side Panels 2 for BMW S1000RR 2018-22,Carbon Fibre Side Panels 2 for BMW S1000RR 2018-22,carbon-fibre-side-panels-2-for-bmw-s1000rr-2018-22,"Material: High quality Toray Prepreg(dry carbon), 3K/6K/12K Plain/Twill carbon fiber weave.","<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Material: High quality Toray Prepreg(dry carbon), 3K/6K/12K Plain/Twill carbon fiber weave.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Color: Red/Yellow/Blue/Green/Silver/Black/Grey and others. </span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Finish: Glossy &amp; Matte finishing, UV protection from fading or yellowing.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Fitting: Pre-drilled holes and pre-buried accessories to bolt on directly and easily, same as OEM.</span></p>","Material: High quality Toray Prepreg(dry carbon), 3K/6K/12K Plain/Twill carbon fiber weave.

Color: Red/Yellow/Blue/Green/Silver/Black/Grey and others. 

Finish: Glossy & Matte finishing, UV protection from fading or yellowing.

Fitting: Pre-drilled holes and pre-buried accessories to bolt on directly and easily, same as OEM.",30300,,2026-07-26,active,Oya,3000,g,Oya Carbon Fibre Side Panels 2 for BMW S1000RR 2018-22 | Mile …,"Material: High quality Toray Prepreg(dry carbon), 3K/6K/12K Plain/Twill carbon fiber weave.",,"Removed location/price noise, normalised format",High,false,Motorcycle Accessories > Bodywork & Carbon Parts,High,"Mapped from Shopify Type ""Carbon Parts""",carbon-fibre-side-panels-2-for-bmw-s1000rr-2018-22-1|Default Title|price:30300.00|compare:|weight:3000|barcode:|qty:0,carbon-fibre-side-panels-2-for-bmw-s1000rr-2018-22-1,1,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/201704171339553816.jpg?v=1659953187|pos:1|alt:Oya Oya Carbon Fibre Side Panels 2 for BMW S1000RR 2018-22 – front view,1,Oya Oya Carbon Fibre Side Panels 2 for BMW S1000RR 2018-22 – front view,,0,,,,,,,,,false,not_eligible,,0,false,/products/carbon-fibre-side-panels-2-for-bmw-s1000rr-2018-22,/products/carbon-fibre-side-panels-2-for-bmw-s1000rr-2018-22
carbon-fibre-side-panels-for-bmw-s1000rr-2018-22,carbon-fibre-side-panels-for-bmw-s1000rr-2018-22,Oya Carbon Fibre Side Panels for BMW S1000RR 2018-22,Carbon Fibre Side Panels for BMW S1000RR 2018-22,carbon-fibre-side-panels-for-bmw-s1000rr-2018-22,"Material: High quality Toray Prepreg(dry carbon), 3K/6K/12K Plain/Twill carbon fiber weave.","<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Material: High quality Toray Prepreg(dry carbon), 3K/6K/12K Plain/Twill carbon fiber weave.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Color: Red/Yellow/Blue/Green/Silver/Black/Grey and others. </span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Finish: Glossy &amp; Matte finishing, UV protection from fading or yellowing.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Fitting: Pre-drilled holes and pre-buried accessories to bolt on directly and easily, same as OEM.</span></p>","Material: High quality Toray Prepreg(dry carbon), 3K/6K/12K Plain/Twill carbon fiber weave.

Color: Red/Yellow/Blue/Green/Silver/Black/Grey and others. 

Finish: Glossy & Matte finishing, UV protection from fading or yellowing.

Fitting: Pre-drilled holes and pre-buried accessories to bolt on directly and easily, same as OEM.",20200,,2026-07-26,active,Oya,2000,g,Oya Carbon Fibre Side Panels for BMW S1000RR 2018-22 | Mile 27…,"Material: High quality Toray Prepreg(dry carbon), 3K/6K/12K Plain/Twill carbon fiber weave.",,"Removed location/price noise, normalised format",High,false,Motorcycle Accessories > Bodywork & Carbon Parts,High,"Mapped from Shopify Type ""Carbon Parts""",carbon-fibre-side-panels-for-bmw-s1000rr-2018-22-1|Default Title|price:20200.00|compare:|weight:2000|barcode:|qty:0,carbon-fibre-side-panels-for-bmw-s1000rr-2018-22-1,1,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/201704171337275167.jpg?v=1659952998|pos:1|alt:Oya Oya Carbon Fibre Side Panels for BMW S1000RR 2018-22 – front view,1,Oya Oya Carbon Fibre Side Panels for BMW S1000RR 2018-22 – front view,,0,,,,,,,,,false,not_eligible,,0,false,/products/carbon-fibre-side-panels-for-bmw-s1000rr-2018-22,/products/carbon-fibre-side-panels-for-bmw-s1000rr-2018-22
carbon-fibre-side-panels-1-for-bmw-s1000rr-2018-22,carbon-fibre-side-panels-1-for-bmw-s1000rr-2018-22,Oya Carbon Fibre Side Panels 1 for BMW S1000RR 2018-22,Carbon Fibre Side Panels 1 for BMW S1000RR 2018-22,carbon-fibre-side-panels-1-for-bmw-s1000rr-2018-22,"Material: High quality Toray Prepreg(dry carbon), 3K/6K/12K Plain/Twill carbon fiber weave.","<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Material: High quality Toray Prepreg(dry carbon), 3K/6K/12K Plain/Twill carbon fiber weave.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Color: Red/Yellow/Blue/Green/Silver/Black/Grey and others. </span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Finish: Glossy &amp; Matte finishing, UV protection from fading or yellowing.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Fitting: Pre-drilled holes and pre-buried accessories to bolt on directly and easily, same as OEM.</span></p>","Material: High quality Toray Prepreg(dry carbon), 3K/6K/12K Plain/Twill carbon fiber weave.

Color: Red/Yellow/Blue/Green/Silver/Black/Grey and others. 

Finish: Glossy & Matte finishing, UV protection from fading or yellowing.

Fitting: Pre-drilled holes and pre-buried accessories to bolt on directly and easily, same as OEM.",24300,,2026-07-26,active,Oya,4000,g,Oya Carbon Fibre Side Panels 1 for BMW S1000RR 2018-22 | Mile …,"Material: High quality Toray Prepreg(dry carbon), 3K/6K/12K Plain/Twill carbon fiber weave.",,"Removed location/price noise, normalised format",High,false,Motorcycle Accessories > Bodywork & Carbon Parts,High,"Mapped from Shopify Type ""Carbon Parts""",carbon-fibre-side-panels-1-for-bmw-s1000rr-2018-22-1|Default Title|price:24300.00|compare:|weight:4000|barcode:|qty:0,carbon-fibre-side-panels-1-for-bmw-s1000rr-2018-22-1,1,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/201704171340245811.jpg?v=1659952813|pos:1|alt:Oya Oya Carbon Fibre Side Panels 1 for BMW S1000RR 2018-22 – front view,1,Oya Oya Carbon Fibre Side Panels 1 for BMW S1000RR 2018-22 – front view,,0,,,,,,,,,false,not_eligible,,0,false,/products/carbon-fibre-side-panels-1-for-bmw-s1000rr-2018-22,/products/carbon-fibre-side-panels-1-for-bmw-s1000rr-2018-22
carbon-fibre-tank-cover-for-bmw-s1000rr-2018-22,carbon-fibre-tank-cover-for-bmw-s1000rr-2018-22,Oya Carbon Fibre Tank Cover for BMW S1000RR 2018-22,Carbon Fibre Tank Cover for BMW S1000RR 2018-22,carbon-fibre-tank-cover-for-bmw-s1000rr-2018-22,"Material: High quality Toray Prepreg(dry carbon), 3K/6K/12K Plain/Twill carbon fiber weave.","<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Material: High quality Toray Prepreg(dry carbon), 3K/6K/12K Plain/Twill carbon fiber weave.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Color: Red/Yellow/Blue/Green/Silver/Black/Grey and others. </span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Finish: Glossy &amp; Matte finishing, UV protection from fading or yellowing.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Fitting: Pre-drilled holes and pre-buried accessories to bolt on directly and easily, same as OEM.</span></p>","Material: High quality Toray Prepreg(dry carbon), 3K/6K/12K Plain/Twill carbon fiber weave.

Color: Red/Yellow/Blue/Green/Silver/Black/Grey and others. 

Finish: Glossy & Matte finishing, UV protection from fading or yellowing.

Fitting: Pre-drilled holes and pre-buried accessories to bolt on directly and easily, same as OEM.",12100,,2026-07-26,active,Oya,2000,g,Oya Carbon Fibre Tank Cover for BMW S1000RR 2018-22 | Mile 27 …,"Material: High quality Toray Prepreg(dry carbon), 3K/6K/12K Plain/Twill carbon fiber weave.",,"Removed location/price noise, normalised format",High,false,Motorcycle Accessories > Bodywork & Carbon Parts,High,"Mapped from Shopify Type ""Carbon Parts""",carbon-fibre-tank-cover-for-bmw-s1000rr-2018-22-1|Default Title|price:12100.00|compare:|weight:2000|barcode:|qty:0,carbon-fibre-tank-cover-for-bmw-s1000rr-2018-22-1,1,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/201704171343577511.jpg?v=1659952400|pos:1|alt:Oya Oya Carbon Fibre Tank Cover for BMW S1000RR 2018-22 – front view,1,Oya Oya Carbon Fibre Tank Cover for BMW S1000RR 2018-22 – front view,,0,,,,,,,,,false,not_eligible,,0,false,/products/carbon-fibre-tank-cover-for-bmw-s1000rr-2018-22,/products/carbon-fibre-tank-cover-for-bmw-s1000rr-2018-22
carbon-fibre-front-fender-for-bmw-s1000rr-2018-22,carbon-fibre-front-fender-for-bmw-s1000rr-2018-22,Oya Carbon Fibre Front Fender for BMW S1000RR 2018-22,Carbon Fibre Front Fender for BMW S1000RR 2018-22,carbon-fibre-front-fender-for-bmw-s1000rr-2018-22,"Material: High quality Toray Prepreg(dry carbon), 3K/6K/12K Plain/Twill carbon fiber weave.","<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Material: High quality Toray Prepreg(dry carbon), 3K/6K/12K Plain/Twill carbon fiber weave.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Color: Red/Yellow/Blue/Green/Silver/Black/Grey and others. </span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Finish: Glossy &amp; Matte finishing, UV protection from fading or yellowing.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Fitting: Pre-drilled holes and pre-buried accessories to bolt on directly and easily, same as OEM.</span></p>","Material: High quality Toray Prepreg(dry carbon), 3K/6K/12K Plain/Twill carbon fiber weave.

Color: Red/Yellow/Blue/Green/Silver/Black/Grey and others. 

Finish: Glossy & Matte finishing, UV protection from fading or yellowing.

Fitting: Pre-drilled holes and pre-buried accessories to bolt on directly and easily, same as OEM.",16200,,2026-07-26,active,Oya,5000,g,Oya Carbon Fibre Front Fender for BMW S1000RR 2018-22 | Mile 2…,"Material: High quality Toray Prepreg(dry carbon), 3K/6K/12K Plain/Twill carbon fiber weave.",,"Removed location/price noise, normalised format",High,false,Motorcycle Accessories > Bodywork & Carbon Parts,High,"Mapped from Shopify Type ""Carbon Parts""",carbon-fibre-front-fender-for-bmw-s1000rr-2018-22-1|Default Title|price:16200.00|compare:|weight:5000|barcode:|qty:0,carbon-fibre-front-fender-for-bmw-s1000rr-2018-22-1,1,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/201704171344483190.jpg?v=1659950300|pos:1|alt:Oya Oya Carbon Fibre Front Fender for BMW S1000RR 2018-22 – front view,1,Oya Oya Carbon Fibre Front Fender for BMW S1000RR 2018-22 – front view,,0,,,,,,,,,false,not_eligible,,0,false,/products/carbon-fibre-front-fender-for-bmw-s1000rr-2018-22,/products/carbon-fibre-front-fender-for-bmw-s1000rr-2018-22
