migration_key,source_shopify_handle,name,source_title,slug,description,source_description_html,description_plain_text,price,compare_at_price,available_on,status,brand,weight,weight_unit,meta_title,meta_description,verified_feature_summary,title_change_reason,title_confidence,requires_review,primary_taxon_path,category_confidence,category_reason,variants,variant_skus,variant_count,images,image_count,image_alt_texts,tags,tag_count,story_title,story_introduction,story_module_design,story_module_experience,story_module_feature_focus,story_module_use_case,story_module_buyer_note,story_module_closing,story_eligible,story_editorial_status,story_media_refs,story_media_count,redirect_required,redirect_from,redirect_to
dmv-tank-protective-pad-di-ctpp-un-01,dmv-tank-protective-pad-di-ctpp-un-01,DMV Tank Protective Pad DI-CTPP-UN-01,DMV Tank Protective Pad DI-CTPP-UN-01,dmv-tank-protective-pad-di-ctpp-un-01,Our Protective Pad fits motorcycle body perfectly with nice design and great protection.,<span>Our Protective Pad fits motorcycle body perfectly with nice design and great protection.</span>,Our Protective Pad fits motorcycle body perfectly with nice design and great protection.,3500,,2026-07-26,active,DMV,1000,g,Buy DMV Tank Protective Pad DI-CTPP-UN-01 | Mile 27 Store,Our Protective Pad fits motorcycle body perfectly with nice design and great protection.,,Cleaned noise; brand verified,High,false,Motorcycle Accessories > Tank Pads,High,"Mapped from Shopify Type ""Tank Pad""",dmv-tank-protective-pad-di-ctpp-un-01-1|Default Title|price:3500.00|compare:|weight:1000|barcode:|qty:0,dmv-tank-protective-pad-di-ctpp-un-01-1,1,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/DI-CTPP-UN-01-A-03.jpg?v=1542698979|pos:1|alt:DMV DMV Tank Protective Pad DI-CTPP-UN-01 – front view,1,DMV DMV Tank Protective Pad DI-CTPP-UN-01 – front view,,0,,,,,,,,,false,not_eligible,,0,false,/products/dmv-tank-protective-pad-di-ctpp-un-01,/products/dmv-tank-protective-pad-di-ctpp-un-01
dmv-radiator-guard-for-kawasaki-z800,dmv-radiator-guard-for-kawasaki-z800,DMV Radiator Guard for Kawasaki Z800,DMV Radiator Guard for Kawasaki Z800,dmv-radiator-guard-for-kawasaki-z800,DMV Radiator Guard for Kawasaki Z800,DMV Radiator Guard for Kawasaki Z800,DMV Radiator Guard for Kawasaki Z800,8500,,2026-07-26,active,DMV,3000,g,Buy DMV Radiator Guard for Kawasaki Z800 | Mile 27 Store,DMV Radiator Guard for Kawasaki Z800,,Cleaned noise; brand verified,High,false,Motorcycle Accessories > Lever Protectors,High,"Refined by title keyword: ""\b(lever\s+protector|guard)\b""",dmv-radiator-guard-for-kawasaki-z800-1|Default Title|price:8500.00|compare:|weight:3000|barcode:|qty:0,dmv-radiator-guard-for-kawasaki-z800-1,1,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/DI-RPC-KA-13-A-13.jpg?v=1542711075|pos:1|alt:DMV DMV Radiator Guard for Kawasaki Z800 – front view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/DI-RPC-KA-13-A-06.jpg?v=1542711078|pos:2|alt:DMV DMV Radiator Guard for Kawasaki Z800 – side view,2,DMV DMV Radiator Guard for Kawasaki Z800 – front view | DMV DMV Radiator Guard for Kawasaki Z800 – side view,,0,,,,,,,,,false,not_eligible,,0,false,/products/dmv-radiator-guard-for-kawasaki-z800,/products/dmv-radiator-guard-for-kawasaki-z800
dmv-radiator-guard-for-kawasaki-zx-10r,dmv-radiator-guard-for-kawasaki-zx-10r,DMV Radiator Guard for Kawasaki ZX-10R,DMV Radiator Guard for Kawasaki ZX-10R,dmv-radiator-guard-for-kawasaki-zx-10r,"Made of 5052 aviation standard aluminum alloy, processed with hydraulic bending, abrasive blasting and finished with hard anodizing.","Made of 5052 aviation standard aluminum alloy, processed with hydraulic bending, abrasive blasting and finished with hard anodizing.","Made of 5052 aviation standard aluminum alloy, processed with hydraulic bending, abrasive blasting and finished with hard anodizing.",10500,,2026-07-26,active,DMV,3000,g,Buy DMV Radiator Guard for Kawasaki ZX-10R | Mile 27 Store,"Made of 5052 aviation standard aluminum alloy, processed with hydraulic bending, abrasive blasting and finished with hard anodizing.",,Cleaned noise; brand verified,High,false,Motorcycle Accessories > Lever Protectors,High,"Refined by title keyword: ""\b(lever\s+protector|guard)\b""",dmv-radiator-guard-for-kawasaki-zx-10r-1|Default Title|price:10500.00|compare:|weight:3000|barcode:|qty:0,dmv-radiator-guard-for-kawasaki-zx-10r-1,1,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/DI-RPC-KA-06-A-14.jpg?v=1542712026|pos:1|alt:DMV DMV Radiator Guard for Kawasaki ZX-10R – front view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/DI-RPC-KA-06-A-07.jpg?v=1542712031|pos:2|alt:DMV DMV Radiator Guard for Kawasaki ZX-10R – side view,2,DMV DMV Radiator Guard for Kawasaki ZX-10R – front view | DMV DMV Radiator Guard for Kawasaki ZX-10R – side view,,0,,,,,,,,,false,not_eligible,,0,false,/products/dmv-radiator-guard-for-kawasaki-zx-10r,/products/dmv-radiator-guard-for-kawasaki-zx-10r
dmv-radiator-guard-for-kawasaki-z1000,dmv-radiator-guard-for-kawasaki-z1000,DMV Radiator Guard for Kawasaki Z1000,DMV Radiator Guard for Kawasaki Z1000,dmv-radiator-guard-for-kawasaki-z1000,"Made of 5052 aviation standard aluminum alloy, processed with hydraulic bending, abrasive blasting and finished with hard anodizing.","<span>Made of 5052 aviation standard aluminum alloy, processed with hydraulic bending, abrasive blasting and finished with hard anodizing.</span>","Made of 5052 aviation standard aluminum alloy, processed with hydraulic bending, abrasive blasting and finished with hard anodizing.",9000,,2026-07-26,active,DMV,3000,g,Buy DMV Radiator Guard for Kawasaki Z1000 | Mile 27 Store,"Made of 5052 aviation standard aluminum alloy, processed with hydraulic bending, abrasive blasting and finished with hard anodizing.",,Cleaned noise; brand verified,High,false,Motorcycle Accessories > Lever Protectors,High,"Refined by title keyword: ""\b(lever\s+protector|guard)\b""",dmv-radiator-guard-for-kawasaki-z1000-1|Default Title|price:9000.00|compare:|weight:3000|barcode:|qty:0,dmv-radiator-guard-for-kawasaki-z1000-1,1,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/DI-RPC-KA-01-A-14.jpg?v=1542714087|pos:1|alt:DMV DMV Radiator Guard for Kawasaki Z1000 – front view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/DI-RPC-KA-01-A-07.jpg?v=1542714089|pos:2|alt:DMV DMV Radiator Guard for Kawasaki Z1000 – side view,2,DMV DMV Radiator Guard for Kawasaki Z1000 – front view | DMV DMV Radiator Guard for Kawasaki Z1000 – side view,,0,,,,,,,,,false,not_eligible,,0,false,/products/dmv-radiator-guard-for-kawasaki-z1000,/products/dmv-radiator-guard-for-kawasaki-z1000
dmv-handlebar-grip,dmv-handlebar-grip,DMV Handlebar Grip,DMV Handlebar Grip,dmv-handlebar-grip,DMV Handlebar Grip Available in multiple sizes and/or colours — select your variant.,DMV Handlebar Grip,DMV Handlebar Grip,3500,3000,2026-07-26,active,DMV,1000,g,Buy DMV Handlebar Grip | Mile 27 Store,DMV Handlebar Grip,,Cleaned noise; brand verified,High,true,Motorcycle Accessories > Hand Grips,High,"Mapped from Shopify Type ""Hand Grip""",dmv-handlebar-grip-1|Colour:Black|price:3500.00|compare:3000.00|weight:1000|barcode:|qty:0 | dmv-handlebar-grip-2|Colour:Green|price:3500.00|compare:3000.00|weight:1000|barcode:|qty:0,"dmv-handlebar-grip-1,dmv-handlebar-grip-2",2,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/188553193.jpg?v=1542794852|pos:1|alt:DMV DMV Handlebar Grip – front view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/131640534.jpg?v=1542794854|pos:2|alt:DMV DMV Handlebar Grip – side view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/809694426.jpg?v=1542794855|pos:3|alt:DMV DMV Handlebar Grip – rear view,3,DMV DMV Handlebar Grip – front view | DMV DMV Handlebar Grip – side view | DMV DMV Handlebar Grip – rear view,,0,,,,,,,,,false,not_eligible,,0,false,/products/dmv-handlebar-grip,/products/dmv-handlebar-grip
dmv-spools-black-di-ss-sm-m8-k,dmv-spools-black-di-ss-sm-m8-k,DMV Spools Black DI-SS-SM-M8-K,DMV Spools Black DI-SS-SM-M8-K,dmv-spools-black-di-ss-sm-m8-k,The spool is composed by 6061-T6 aluminum alloy base with black part of lid and extra-large base which made of POM.,<span>The spool is composed by 6061-T6 aluminum alloy base with black part of lid and extra-large base which made of POM.</span>,The spool is composed by 6061-T6 aluminum alloy base with black part of lid and extra-large base which made of POM.,3500,,2026-07-26,active,DMV,1000,g,Buy DMV Spools Black DI-SS-SM-M8-K | Mile 27 Store,The spool is composed by 6061-T6 aluminum alloy base with black part of lid and extra-large base which made of POM.,,Cleaned noise; brand verified,High,false,Motorcycle Accessories,High,"Mapped from Shopify Type ""Bike Parts""",dmv-spools-black-di-ss-sm-m8-k-1|Default Title|price:3500.00|compare:|weight:1000|barcode:|qty:0,dmv-spools-black-di-ss-sm-m8-k-1,1,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/DI-SS-SM-M6-A-02.jpg?v=1544523339|pos:1|alt:DMV DMV Spools Black DI-SS-SM-M8-K – front view,1,DMV DMV Spools Black DI-SS-SM-M8-K – front view,,0,,,,,,,,,false,not_eligible,,0,false,/products/dmv-spools-black-di-ss-sm-m8-k,/products/dmv-spools-black-di-ss-sm-m8-k
dmv-spools-green-di-ss-sm-m10-d,dmv-spools-green-di-ss-sm-m10-d,DMV Spools Green DI-SS-SM-M10-D,DMV Spools Green DI-SS-SM-M10-D,dmv-spools-green-di-ss-sm-m10-d,The spool is composed by 6061-T6 aluminum alloy base with black part of lid and extra-large base which made of POM.,<span>The spool is composed by 6061-T6 aluminum alloy base with black part of lid and extra-large base which made of POM.</span>,The spool is composed by 6061-T6 aluminum alloy base with black part of lid and extra-large base which made of POM.,4500,,2026-07-26,active,DMV,1000,g,Buy DMV Spools Green DI-SS-SM-M10-D | Mile 27 Store,The spool is composed by 6061-T6 aluminum alloy base with black part of lid and extra-large base which made of POM.,,Cleaned noise; brand verified,High,false,Motorcycle Accessories,High,"Mapped from Shopify Type ""Bike Parts""",dmv-spools-green-di-ss-sm-m10-d-1|Default Title|price:4500.00|compare:|weight:1000|barcode:|qty:0,dmv-spools-green-di-ss-sm-m10-d-1,1,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/DI-SS-SM-M6-A-02_aa065159-3536-4b16-9960-682c82a4e46a.jpg?v=1544523735|pos:1|alt:DMV DMV Spools Green DI-SS-SM-M10-D – front view,1,DMV DMV Spools Green DI-SS-SM-M10-D – front view,,0,,,,,,,,,false,not_eligible,,0,false,/products/dmv-spools-green-di-ss-sm-m10-d,/products/dmv-spools-green-di-ss-sm-m10-d
dmv-spools-black-di-ss-sm-m6-k,dmv-spools-black-di-ss-sm-m6-k,DMV Spools Black DI-SS-SM-M6-K,DMV Spools Black DI-SS-SM-M6-K,dmv-spools-black-di-ss-sm-m6-k,The spool is composed by 6061-T6 aluminum alloy base with black part of lid and extra-large base which made of POM.,<span>The spool is composed by 6061-T6 aluminum alloy base with black part of lid and extra-large base which made of POM.</span>,The spool is composed by 6061-T6 aluminum alloy base with black part of lid and extra-large base which made of POM.,3500,,2026-07-26,active,DMV,1000,g,Buy DMV Spools Black DI-SS-SM-M6-K | Mile 27 Store,The spool is composed by 6061-T6 aluminum alloy base with black part of lid and extra-large base which made of POM.,,Cleaned noise; brand verified,High,false,Motorcycle Accessories,High,"Mapped from Shopify Type ""Bike Parts""",dmv-spools-black-di-ss-sm-m6-k-1|Default Title|price:3500.00|compare:|weight:1000|barcode:|qty:0,dmv-spools-black-di-ss-sm-m6-k-1,1,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/DI-SS-SM-M6-A-02_abe738f6-aedc-48b6-8f2e-05f07feafe3a.jpg?v=1544524177|pos:1|alt:DMV DMV Spools Black DI-SS-SM-M6-K – front view,1,DMV DMV Spools Black DI-SS-SM-M6-K – front view,,0,,,,,,,,,false,not_eligible,,0,false,/products/dmv-spools-black-di-ss-sm-m6-k,/products/dmv-spools-black-di-ss-sm-m6-k
dmv-clutch-and-brake-lever-set-red,dmv-clutch-and-brake-lever-set-red,DMV Clutch and Brake Lever Set Red,DMV Clutch and Brake Lever Set Red,dmv-clutch-and-brake-lever-set-red,DMV Clutch and Brake Lever Set Red,DMV Clutch and Brake Lever Set Red,DMV Clutch and Brake Lever Set Red,16000,,2026-07-26,active,DMV,2000,g,Buy DMV Clutch and Brake Lever Set Red | Mile 27 Store,DMV Clutch and Brake Lever Set Red,,Cleaned noise; brand verified,High,false,Motorcycle Accessories > Levers,High,"Mapped from Shopify Type ""Levers""",dmv-clutch-and-brake-lever-set-red-1|Default Title|price:16000.00|compare:|weight:2000|barcode:|qty:0,dmv-clutch-and-brake-lever-set-red-1,1,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/4807ad64-9713-4ab0-b1b5-a3e9d121240e.jpg?v=1544606468|pos:1|alt:DMV DMV Clutch and Brake Lever Set Red – front view || https://cdn.shopify.com/s/files/1/0076/8301/4754/products/fa0f13db-3f07-4c7a-8c6f-0ef7e2d5880f.jpg?v=1544606468|pos:2|alt:DMV DMV Clutch and Brake Lever Set Red – side view,2,DMV DMV Clutch and Brake Lever Set Red – front view | DMV DMV Clutch and Brake Lever Set Red – side view,,0,,,,,,,,,false,not_eligible,,0,false,/products/dmv-clutch-and-brake-lever-set-red,/products/dmv-clutch-and-brake-lever-set-red
dmv-front-axle-slider-for-kawasaki-bikes,dmv-front-axle-slider-for-kawasaki-bikes,DMV Front Axle Slider for Kawasaki Bikes,DMV Front Axle Slider for Kawasaki Bikes,dmv-front-axle-slider-for-kawasaki-bikes,DMV Front Axle Slider for Kawasaki Bikes,DMV Front Axle Slider for Kawasaki Bikes,DMV Front Axle Slider for Kawasaki Bikes,6000,10000,2026-07-26,active,DMV,3000,g,Buy DMV Front Axle Slider for Kawasaki Bikes | Mile 27 Store,DMV Front Axle Slider for Kawasaki Bikes,,Cleaned noise; brand verified,High,false,Motorcycle Accessories > Frame Sliders,High,"Refined by title keyword: ""\b(frame\s+slider|slider)\b""",dmv-front-axle-slider-for-kawasaki-bikes-1|Default Title|price:6000.00|compare:10000.00|weight:3000|barcode:|qty:0,dmv-front-axle-slider-for-kawasaki-bikes-1,1,https://cdn.shopify.com/s/files/1/0076/8301/4754/products/8313b8bd-ef64-4d11-bb17-9042df30cb04.jpg?v=1544607850|pos:1|alt:DMV DMV Front Axle Slider for Kawasaki Bikes – front view,1,DMV DMV Front Axle Slider for Kawasaki Bikes – front view,,0,,,,,,,,,false,not_eligible,,0,false,/products/dmv-front-axle-slider-for-kawasaki-bikes,/products/dmv-front-axle-slider-for-kawasaki-bikes
