Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Accessory size (product.metafields.shopify.accessory-size),Animal type (product.metafields.shopify.animal-type),Application method (product.metafields.shopify.application-method),Color (product.metafields.shopify.color-pattern),Gear material (product.metafields.shopify.gear-material),Pest control method (product.metafields.shopify.pest-control-method),Power source (product.metafields.shopify.power-source),Protective gear features (product.metafields.shopify.protective-gear-features),Suitable space (product.metafields.shopify.suitable-space),Target gender (product.metafields.shopify.target-gender),Vehicle type (product.metafields.shopify.vehicle-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
motul-rat-repellent-spray,"MOTUL Rat Repellent Spray 200 ml | Long-Lasting Protection for Wires, Cables & Engine Bay","<p>Keep rodents away and safeguard your vehicle with the MOTUL Rat Repellent Spray (200 ml), specially formulated to provide long-lasting protection against rat and rodent attacks on engine bays and electrical systems.</p>
<p>Rodents can cause expensive damage by chewing wires, cables, hoses, and other critical components. MOTUL Rat Repellent Spray creates an effective protective barrier with a specially designed formula that helps discourage rats from nesting or gnawing inside your vehicle.</p>
<p>Ideal for cars, motorcycles, SUVs, trucks, and commercial vehicles, this easy-to-use spray can be applied to engine compartments, wiring harnesses, hoses, and vulnerable areas to minimize the risk of rodent-related breakdowns and repair costs.</p>
<h3>Key Features:</h3>
<p>• Long-lasting anti-rodent protection<br>• Helps prevent damage to wires, cables, and engine components<br>• Suitable for cars, bikes, SUVs, and commercial vehicles<br>• Easy spray application for regular maintenance<br>• Reduces the risk of expensive electrical repairs<br>• Trusted MOTUL quality and performance</p>
<p>Whether your vehicle is parked indoors or outdoors, MOTUL Rat Repellent Spray offers dependable protection and peace of mind, helping keep your engine bay and wiring system safe from unwanted rodent damage.</p>",Motul,Home & Garden > Household Supplies > Pest Control > Repellents > Animal & Pet Repellents,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,450.00,500.00,true,false,,,,,"",https://cdn.shopify.com/s/files/1/0972/3399/4044/files/original-imahavu7gf7zv5ym.webp?v=1782111333,1,"",false,,"Protect your vehicle from costly rodent damage with the MOTUL Rat Repellent Spray (200 ml). Its long-lasting formula helps deter rats and rodents from chewing electrical wires, cables, hoses, and engine components, providing reliable protection for cars, motorcycles, SUVs, and commercial vehicles. Easy to apply and safe for regular preventive maintenance.
",3044,,,,,,,,,,,,,rats; rodents,spray,red,,liquid-spray,manual,,indoors; outdoors,,,,kg,,,active
demon-sprint-mens-one-piece-perforated-leather-motorcycle-suit,DEMON SPRINT - MEN'S ONE-PIECE PERFORATED LEATHER MOTORCYCLE SUIT,"",Mile 27 Store,Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Safety & Security > Off-Road & Motor Sports Vehicle Protective Gear > Racing Suits,"","",true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0972/3399/4044/files/ChatGPT_Image_Jun_21_2026_09_41_34_PM.png?v=1782058321,1,"",false,,,362737,,,,,,,,,,,,,,,,,,,,,,,,kg,,,active
demon-sprint-mens-one-piece-perforated-leather-motorcycle-suit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0972/3399/4044/files/ChatGPT_Image_Jun_21_2026_09_44_14_PM.png?v=1782058508,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agv-pista-gp-rr-acqua-helmet,AGV Pista GP RR Acqua Helmet,"<div class=""product-description"">

<h2>AGV Pista GP RR Acqua Helmet</h2>

<h3>Product Overview</h3>
<p>The <strong>AGV Pista GP RR Acqua Helmet</strong> is AGV's answer to riders who demand uncompromising protection paired with all-day comfort. Every element of this Pista GP RR helmet has been refined through AGV's decades of racing heritage and real-world testing, resulting in a lid that performs whether you are carving through mountain passes, commuting through city traffic, or pushing your limits on the track. Available now at Mile 27 Store with free shipping across India and genuine product guarantee.</p>

<h3>Key Features</h3>
<ul>
<li>Hydration system</li>
<li>Interiors customization kit: top crown pad, rear crown pad, cheek pads</li>
<li>Tear-off kit</li>
<li>Vents covers</li>
<li>Detachable PRO Spoiler</li>
<li>Race suit fitment</li>
<li>2Dry: instant sweat absorption</li>
<li>360° Adaptive fit</li>
<li>3-piece adaptable crown pad fit</li>
<li>Cheek pads safety release system</li>
<li>Cheek pads: Shalimar fabric for soft and stable fit even at high speed</li>
<li>Crown pad: elastic and breathable microfiber</li>
<li>AGV Pista GP RR Helmet</li>
<li>Pinlock anti-fog insert</li>
<li>Additional smoke visor</li>
</ul>

<h3>Materials and Construction</h3>
<p>The hand-laid carbon fiber shell is the centerpiece of this helmet, delivering an extraordinary strength-to-weight ratio that race teams demand. Each shell is precision-molded to ensure consistent thickness and structural integrity, providing race-grade impact protection while keeping the helmet noticeably lighter than composite alternatives. The carbon weave pattern visible through the clear coat is not just aesthetic; it is a testament to the authentic construction method that defines premium helmet manufacturing.</p>
<p>The shell geometry has been wind-tunnel tested to minimize turbulence and drag, while the aerodynamic profile reduces neck fatigue during extended rides. Every contour serves a purpose, from the integrated spoiler that stabilizes the helmet at high speed to the carefully sculpted chin bar that optimizes airflow without compromising structural integrity.</p>

<h3>Safety and Certification</h3>
<p>This helmet carries <strong>ECE 22.06 &amp; FIM Homologated</strong> certification, the highest protection level recognized in professional motorcycle racing. The FIM homologation certifies defense against dangerous rotational accelerations, going beyond standard ECE requirements. The multi-density EPS liner uses at least three different foam densities strategically positioned to handle impacts from different angles and at varying speeds. The result is a helmet that protects against both direct impacts and the rotational forces that cause the most serious brain injuries.</p>
<p>The impact absorption system uses strategically placed foam densities that respond differently depending on impact severity, providing progressive deceleration that reduces peak forces transmitted to the rider. This approach mirrors the technology used in professional racing helmets, adapted for street riding conditions where impacts can occur at varying angles and speeds.</p>

<h3>Visor and Visibility</h3>
<p>The 190-degree horizontal and 85-degree vertical field of view visor provides maximum situational awareness, letting you see the road, hazards, and traffic before they become problems. An included Pinlock 120 anti-fog insert ensures crystal-clear vision in cold and humid conditions, eliminating the dangerous visor fogging that compromises rider safety. The scratch-resistant coating maintains optical clarity through thousands of open-close cycles, and the quick-release mechanism allows tool-free visor swaps in seconds. The visor meets optical class 1 standards, meaning zero distortion across the entire viewing area for accurate distance and speed judgment.</p>
<p>The visor mechanism operates with a satisfying click that confirms secure closure, while the quick-release system allows tool-free swaps in seconds. The optical clarity meets optical class 1 standards, meaning zero distortion across the entire field of view, which is critical for judging distances and speeds in traffic.</p>

<h3>Comfort and Interior</h3>
<p>The Pista GP RR interior system uses premium fabrics that cradle your head in plush comfort for hours of fatigue-free riding. All interior components are fully removable and machine-washable for easy hygiene maintenance. The 3D-shaped cheek pads conform to your facial contours, while the crown pad provides even pressure distribution that eliminates hot spots. The fit is designed to accommodate riders who wear glasses, with dedicated channels that prevent temple pressure points.</p>
<p>All interior materials are hypoallergenic and treated with antimicrobial agents to maintain freshness between washes. The removable cheek pads allow fine-tuning of the fit, and replacement interiors are available in various thicknesses to accommodate different head shapes.</p>

<h3>Ventilation System</h3>
<p>The Pista GP RR ventilation system channels cool, fresh air across the helmet interior through strategically placed intake vents, while rear exhaust ports efficiently remove hot, humid air using the Venturi effect. The result is a continuously refreshed interior environment that keeps you comfortable during intense summer sessions or extended highway cruising. The vent covers operate with positive-click mechanisms that allow precise airflow adjustment even while wearing gloves.</p>
<p>The ventilation system is designed to work across all seasons. In summer, the full open configuration delivers maximum cooling airflow. In cooler conditions, vents can be partially closed to retain warmth while still providing fresh air circulation. The exhaust ports use the Venturi effect to actively pull hot air out of the helmet, creating continuous air exchange even at moderate speeds.</p>

<h3>Intended Rider Profile</h3>
<p>Designed for track riders and racing enthusiasts who demand the absolute pinnacle of helmet performance. This helmet meets the stringent requirements of professional competition while remaining practical enough for spirited street riding. Ideal for riders who push their limits and need equipment that keeps pace.</p>

<h3>Best Use Cases</h3>
<ul>
<li>Track days and circuit racing</li>
<li>Sport riding on twisty roads</li>
<li>High-performance canyon carving</li>
<li>Professional racing competition</li>
</ul>

<h3>What is in the Box</h3>
<ul>
<li>AGV Pista GP RR Helmet</li>
<li>Pinlock 120 anti-fog insert</li>
<li>Additional dark smoke visor</li>
<li>Tear-off kit</li>
<li>User manual and warranty card</li>
<li>Premium helmet bag</li>
</ul>

<h3>Frequently Asked Questions</h3>
<div class=""faq-item"">
<h4>Is the AGV Pista GP RR safety certified?</h4>
<p>Yes, the AGV Pista GP RR carries <strong>ECE 22.06 &amp; FIM Homologated</strong> certification, meeting the most current and stringent safety standards for motorcycle helmets.</p>
</div>
<div class=""faq-item"">
<h4>What is the shell construction?</h4>
<p>The AGV Pista GP RR features a <strong>carbon fiber shell</strong>, delivering an exceptional strength-to-weight ratio for lightweight yet robust protection.</p>
</div>
<div class=""faq-item"">
<h4>Does it include a Pinlock insert?</h4>
<p>Yes, the AGV Pista GP RR includes a <strong>Pinlock 120 anti-fog insert</strong> in the box, ensuring fog-free visibility in cold and humid conditions.</p>
</div>
<div class=""faq-item"">
<h4>What sizes are available?</h4>
<p>The AGV Pista GP RR is available in sizes XS through XXL. We recommend consulting the size chart for your ideal fit.</p>
</div>
<div class=""faq-item"">
<h4>Is this helmet suitable for glasses wearers?</h4>
<p>Yes, the AGV Pista GP RR is specifically designed with a fit that accommodates prescription eyewear comfortably.</p>
</div>

<h3>Shipping and Warranty</h3>
<p>All AGV helmets sold through <strong>Mile 27 Store</strong> are <strong>100 percent genuine</strong> products backed by official manufacturer warranty. Free shipping across India on every order. Each helmet ships in its original packaging with all included accessories and documentation. We stand behind every product we sell and are committed to ensuring your complete satisfaction.</p>

</div>",AGV,,Full Face Race Helmets,"AGV full face helmet, AGV helmet, AGV Helmets, AGV helmets India, agv pista gp rr, AGV Pista GP RR Helmet, AGV Pista GP RR helmets India, best motorcycle helmet, buy AGV helmet online India, buy AGV helmets online India, buy AGV Pista GP RR helmet online, carbon fiber helmet, carbon motorcycle helmet India, ECE 22.06 & FIM Homologated, ECE 22.06 helmet, ECE certified helmet India, FIM homologated helmet, flagship helmet India, MotoGP helmet, motorcycle helmet, motorcycle helmet online India, motorcycle race helmet, motorcycle safety gear, motorcycle safety helmet, Pinlock helmet, Pinlock helmet India, premium motorcycle gear, premium motorcycle helmet, race helmet",true,Size,XS,,,,,,,,,5000.0,,0,deny,manual,190000.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0972/3399/4044/files/2118356002_041_2.webp?v=1781340408,1,AGV Pista GP RR Acqua Helmet - AGV | SuperBike Store India,false,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
agv-pista-gp-rr-acqua-helmet,,,,,,,,,S,,,,,,,,,5000.0,,0,deny,manual,190000.00,,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
agv-pista-gp-rr-acqua-helmet,,,,,,,,,M,,,,,,,,,5000.0,,0,deny,manual,190000.00,,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
agv-pista-gp-rr-acqua-helmet,,,,,,,,,L,,,,,,,,,5000.0,,0,deny,manual,190000.00,,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
agv-pista-gp-rr-acqua-helmet,,,,,,,,,XL,,,,,,,,,5000.0,,0,deny,manual,190000.00,,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
agv-pista-gp-rr-acqua-helmet,,,,,,,,,XXL,,,,,,,,,5000.0,,0,deny,manual,190000.00,,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
agv-pista-gp-rr-mono-red-carbon-helmet,AGV Pista GP RR Mono Red Carbon Helmet,"<div class=""product-description"">

<h2>AGV Pista GP RR Mono Red Carbon Helmet</h2>

<h3>Product Overview</h3>
<p>The <strong>AGV Pista GP RR Mono Red Carbon Helmet</strong> is AGV's answer to riders who demand uncompromising protection paired with all-day comfort. Every element of this Pista GP RR helmet has been refined through AGV's decades of racing heritage and real-world testing, resulting in a lid that performs whether you are carving through mountain passes, commuting through city traffic, or pushing your limits on the track. Available now at Mile 27 Store with free shipping across India and genuine product guarantee.</p>

<h3>Key Features</h3>
<ul>
<li>Hydration system</li>
<li>Interiors customization kit: top crown pad, rear crown pad, cheek pads</li>
<li>Smoke visor (Only for 'I caschi di Vale', PISTA GP RR - IRIDIUM CARBON, RED CARBON, ITALIA CARBONIO FORGIATO)</li>
<li>Tear-off kit</li>
<li>Vents covers</li>
<li>Detachable PRO Spoiler</li>
<li>Race suit fitment</li>
<li>2Dry: instant sweat absorption</li>
<li>360° Adaptive fit</li>
<li>3-piece adaptable crown pad fit</li>
<li>Cheek pads safety release system</li>
<li>Cheek pads: Shalimar fabric for soft and stable fit even at high speed</li>
<li>AGV Pista GP RR Helmet</li>
<li>Pinlock anti-fog insert</li>
<li>Additional smoke visor</li>
</ul>

<h3>Materials and Construction</h3>
<p>The hand-laid carbon fiber shell is the centerpiece of this helmet, delivering an extraordinary strength-to-weight ratio that race teams demand. Each shell is precision-molded to ensure consistent thickness and structural integrity, providing race-grade impact protection while keeping the helmet noticeably lighter than composite alternatives. The carbon weave pattern visible through the clear coat is not just aesthetic; it is a testament to the authentic construction method that defines premium helmet manufacturing.</p>
<p>The shell geometry has been wind-tunnel tested to minimize turbulence and drag, while the aerodynamic profile reduces neck fatigue during extended rides. Every contour serves a purpose, from the integrated spoiler that stabilizes the helmet at high speed to the carefully sculpted chin bar that optimizes airflow without compromising structural integrity.</p>

<h3>Safety and Certification</h3>
<p>This helmet carries <strong>ECE 22.06 &amp; FIM Homologated</strong> certification, the highest protection level recognized in professional motorcycle racing. The FIM homologation certifies defense against dangerous rotational accelerations, going beyond standard ECE requirements. The multi-density EPS liner uses at least three different foam densities strategically positioned to handle impacts from different angles and at varying speeds. The result is a helmet that protects against both direct impacts and the rotational forces that cause the most serious brain injuries.</p>
<p>The impact absorption system uses strategically placed foam densities that respond differently depending on impact severity, providing progressive deceleration that reduces peak forces transmitted to the rider. This approach mirrors the technology used in professional racing helmets, adapted for street riding conditions where impacts can occur at varying angles and speeds.</p>

<h3>Visor and Visibility</h3>
<p>The 190-degree horizontal and 85-degree vertical field of view visor provides maximum situational awareness, letting you see the road, hazards, and traffic before they become problems. An included Pinlock 120 anti-fog insert ensures crystal-clear vision in cold and humid conditions, eliminating the dangerous visor fogging that compromises rider safety. The scratch-resistant coating maintains optical clarity through thousands of open-close cycles, and the quick-release mechanism allows tool-free visor swaps in seconds. The visor meets optical class 1 standards, meaning zero distortion across the entire viewing area for accurate distance and speed judgment.</p>
<p>The visor mechanism operates with a satisfying click that confirms secure closure, while the quick-release system allows tool-free swaps in seconds. The optical clarity meets optical class 1 standards, meaning zero distortion across the entire field of view, which is critical for judging distances and speeds in traffic.</p>

<h3>Comfort and Interior</h3>
<p>The Pista GP RR interior system uses premium fabrics that cradle your head in plush comfort for hours of fatigue-free riding. All interior components are fully removable and machine-washable for easy hygiene maintenance. The 3D-shaped cheek pads conform to your facial contours, while the crown pad provides even pressure distribution that eliminates hot spots. The fit is designed to accommodate riders who wear glasses, with dedicated channels that prevent temple pressure points.</p>
<p>All interior materials are hypoallergenic and treated with antimicrobial agents to maintain freshness between washes. The removable cheek pads allow fine-tuning of the fit, and replacement interiors are available in various thicknesses to accommodate different head shapes.</p>

<h3>Ventilation System</h3>
<p>The Pista GP RR ventilation system channels cool, fresh air across the helmet interior through strategically placed intake vents, while rear exhaust ports efficiently remove hot, humid air using the Venturi effect. The result is a continuously refreshed interior environment that keeps you comfortable during intense summer sessions or extended highway cruising. The vent covers operate with positive-click mechanisms that allow precise airflow adjustment even while wearing gloves.</p>
<p>The ventilation system is designed to work across all seasons. In summer, the full open configuration delivers maximum cooling airflow. In cooler conditions, vents can be partially closed to retain warmth while still providing fresh air circulation. The exhaust ports use the Venturi effect to actively pull hot air out of the helmet, creating continuous air exchange even at moderate speeds.</p>

<h3>Intended Rider Profile</h3>
<p>Designed for track riders and racing enthusiasts who demand the absolute pinnacle of helmet performance. This helmet meets the stringent requirements of professional competition while remaining practical enough for spirited street riding. Ideal for riders who push their limits and need equipment that keeps pace.</p>

<h3>Best Use Cases</h3>
<ul>
<li>Track days and circuit racing</li>
<li>Sport riding on twisty roads</li>
<li>High-performance canyon carving</li>
<li>Professional racing competition</li>
</ul>

<h3>What is in the Box</h3>
<ul>
<li>AGV Pista GP RR Helmet</li>
<li>Pinlock 120 anti-fog insert</li>
<li>Additional dark smoke visor</li>
<li>Tear-off kit</li>
<li>User manual and warranty card</li>
<li>Premium helmet bag</li>
</ul>

<h3>Frequently Asked Questions</h3>
<div class=""faq-item"">
<h4>Is the AGV Pista GP RR safety certified?</h4>
<p>Yes, the AGV Pista GP RR carries <strong>ECE 22.06 &amp; FIM Homologated</strong> certification, meeting the most current and stringent safety standards for motorcycle helmets.</p>
</div>
<div class=""faq-item"">
<h4>What is the shell construction?</h4>
<p>The AGV Pista GP RR features a <strong>carbon fiber shell</strong>, delivering an exceptional strength-to-weight ratio for lightweight yet robust protection.</p>
</div>
<div class=""faq-item"">
<h4>Does it include a Pinlock insert?</h4>
<p>Yes, the AGV Pista GP RR includes a <strong>Pinlock 120 anti-fog insert</strong> in the box, ensuring fog-free visibility in cold and humid conditions.</p>
</div>
<div class=""faq-item"">
<h4>What sizes are available?</h4>
<p>The AGV Pista GP RR is available in sizes XS through XXL. We recommend consulting the size chart for your ideal fit.</p>
</div>
<div class=""faq-item"">
<h4>Is this helmet suitable for glasses wearers?</h4>
<p>Yes, the AGV Pista GP RR is specifically designed with a fit that accommodates prescription eyewear comfortably.</p>
</div>

<h3>Shipping and Warranty</h3>
<p>All AGV helmets sold through <strong>Mile 27 Store</strong> are <strong>100 percent genuine</strong> products backed by official manufacturer warranty. Free shipping across India on every order. Each helmet ships in its original packaging with all included accessories and documentation. We stand behind every product we sell and are committed to ensuring your complete satisfaction.</p>

</div>",AGV,,Full Face Race Helmets,"AGV full face helmet, AGV helmet, AGV Helmets, AGV helmets India, agv pista gp rr, AGV Pista GP RR Helmet, AGV Pista GP RR helmets India, best motorcycle helmet, buy AGV helmet online India, buy AGV helmets online India, buy AGV Pista GP RR helmet online, carbon fiber helmet, carbon motorcycle helmet India, ECE 22.06 & FIM Homologated, ECE 22.06 helmet, ECE certified helmet India, FIM homologated helmet, flagship helmet India, MotoGP helmet, motorcycle helmet, motorcycle helmet online India, motorcycle race helmet, motorcycle safety gear, motorcycle safety helmet, Pinlock helmet, Pinlock helmet India, premium motorcycle gear, premium motorcycle helmet, race helmet",true,Size,XS,,,,,,,,,5000.0,,0,deny,manual,180000.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0972/3399/4044/files/2118356002_011_2_ea258d12-55a7-4106-9d1d-b9932729bc26.webp?v=1781340397,1,AGV Pista GP RR Mono Red Carbon Helmet - AGV | SuperBike Store India,false,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
