brand,product_name,product_type,primary_category,subcategory,taxonomy_path,reason_for_selection,confidence_level,variant_recommendation,duplicate_status,seo_priority,geo_priority,price,migration_key,source_title,slug,description,meta_title,meta_description,variant_count,image_count,story_eligible
Alpinestars,Alpinestars SP-8 V3 Gloves,General,Accessories,General,Accessories > General,Category fill: Accessories > General (score 51),High,Keep 24 variants (sizes/colours),Unique,High,Medium,20000,alpinestars-sp-8-v3-gloves,Alpinestars SP-8 V3 Gloves,alpinestars-sp-8-v3-gloves,"A universal riding glove bristling with racing DNA, the SP-8 v3 Leather Glove is constructed from highly abrasion resistant, full grain goat leather and synthetic… • Premium, full-grain goat leather and synthetic leather material construction is comfortable, durable and offers excellent abrasion resistance. • Excellent repeated impact performance is offered by the advanced MotoGP-derived SP dual density knuckle protector. • Extended cuff for greater coverage with an integrated closure for securi",Buy Alpinestars SP-8 V3 Gloves | Mile 27 Store,"A universal riding glove bristling with racing DNA, the SP-8 v3 Leather Glove is constructed from highly abrasion resistant, full grain goat leather and…",24,6,true
Alpinestars,Alpinestars City Hunter Backpack,Luggage,Accessories,Luggage,Accessories > Luggage,Brand selection: Alpinestars (score 54),High,Keep 4 variants (sizes/colours),Unique,High,Medium,18600,alpinestars-city-hunter-backpack,Alpinestars City Hunter Backpack,alpinestars-city-hunter-backpack,Alpinestars City Hunter Back Pack • Multi-material outer shell. • Lightweight 420D Nylon / 420D Ripstop Nylon to reinforce the bottom part. • 2 external waterproof pockets on front. • Computer compartment with full length zip featuring 15” laptop protective fleece sleeve. Available in multiple sizes and/or colours — select your variant.,Buy Alpinestars City Hunter Backpack | Mile 27 Store,Alpinestars City Hunter Back Pack Multi-material outer shell. Lightweight 420D Nylon / 420D Ripstop Nylon to reinforce the bottom part. 2 external…,4,4,true
American Kargo,American Kargo Gear Bag Roller,Luggage,Accessories,Luggage,Accessories > Luggage,Brand selection: American Kargo (score 54),High,Keep 4 variants (sizes/colours),Unique,High,Medium,38800,american-kargo-gear-bag-roller,American Kargo Gear Bag Roller,american-kargo-gear-bag-roller,"The American Kargo Roller Gear Bag offers a huge 8,000 cubic inches of storage space. All the usual wear areas have been reinforced for maximum… • Rugged wheels and telescoping handle. • Honeycomb reinforced bottom unit. • Fleece lined goggle compartment. • Abrasion resistant materials. Available in multiple sizes and/or colours — select your variant.",Buy American Kargo Gear Bag Roller | Mile 27 Store,"The American Kargo Roller Gear Bag offers a huge 8,000 cubic inches of storage space. All the usual wear areas have been reinforced for maximum… Rugged…",4,9,true
American Kargo,American Kargo Trooper Backpack,Luggage,Accessories,Luggage,Accessories > Luggage,Brand selection: American Kargo (score 54),High,Keep 3 variants (sizes/colours),Unique,High,Medium,20550,american-kargo-trooper-backpack,American Kargo Trooper Backpack,american-kargo-trooper-backpack,American Kargo Trooper Back Pack • Goggle pocket. • PVC backed 600D fabric. • Double needle seam construction. • D-Ring tie downs. Available in multiple sizes and/or colours — select your variant.,Buy American Kargo Trooper Backpack | Mile 27 Store,American Kargo Trooper Back Pack Goggle pocket. PVC backed 600D fabric. Double needle seam construction. D-Ring tie downs.,3,8,true
Cardo,Cardo Spirit Headset - Duo Pack,Intercoms,Accessories,Intercoms,Accessories > Intercoms,Brand selection: Cardo (score 39),High,Single variant,Unique,High,Medium,37999,cardo-spirit-headset-duo-pack,Cardo Spirit Headset - Duo Pack,cardo-spirit-headset-duo-pack,"The Cardo Spirit Headset is an ideal choice for riders looking for a no-frills, solo or 2-up Bluetooth communication device. With two channels for connecting… • Intercom communication between passenger and rider (Range: 0.25 miles/ 400m). • 2 Bluetooth channels to connect with phone/GPS devices. • Phone features include make/receive/reject calls, speed dial, conference call with intercom, receive in-helmet navigation instructions from compati…. • Automatic Volume Control can automatically adjust",Buy Cardo Spirit Headset - Duo Pack | Mile 27 Store,"The Cardo Spirit Headset is an ideal choice for riders looking for a no-frills, solo or 2-up Bluetooth communication device. With two channels for…",1,2,true
Cortech,Cortech Super 2.0 12-Liter Magnetic Tank Bag,Luggage,Accessories,Luggage,Accessories > Luggage,Brand selection: Cortech (score 44),High,Single variant,Unique,High,Medium,16600,cortech-super-2-0-12-liter-magnetic-tank-bag,Cortech Super 2.0 12-Liter Magnetic Tank Bag,cortech-super-2-0-12-liter-magnetic-tank-bag,"Cortech Super 2.0 12-Liter Magnetic Tank Bag • 1680 denier ballistic polyester and 1800 denier three-lined twill Jacquard construction. • Protective non-slip, non-scratch diamond pattern mounting base. • One-way zipper on main compartment with a “Zipper Garage” for concealment. • Top flap internal organizer and soft lining.",Buy Cortech Super 2.0 12-Liter Magnetic Tank Bag | Mile 27 Store,"Cortech Super 2.0 12-Liter Magnetic Tank Bag 1680 denier ballistic polyester and 1800 denier three-lined twill Jacquard construction. Protective non-slip,…",1,5,true
Cortech,Cortech Super 2.0 12-Liter Strap Mounted Tank Bag,Luggage,Accessories,Luggage,Accessories > Luggage,Brand selection: Cortech (score 44),High,Single variant,Unique,High,Medium,14800,cortech-super-2-0-12-liter-strap-mounted-tank-bag,Cortech Super 2.0 12-Liter Strap Mounted Tank Bag,cortech-super-2-0-12-liter-strap-mounted-tank-bag,"The Cortech Super 2.0 12L Tank Bag is the Goldilocks of tank bags. Not too big nor too small, it's right sized to hold when… • 1680 denier ballistic polyester and 1800 denier three-lined twill Jacquard construction. • Protective non-slip, non-scratch diamond pattern mounting base. • One-way zipper on main compartment with a zipper garage for concealment. • Top flap internal organizer and soft lining.",Cortech Super 2.0 12-Liter Strap Mounted Tank Bag | Mile 27 Store,"The Cortech Super 2.0 12L Tank Bag is the Goldilocks of tank bags. Not too big nor too small, it's right sized to hold when… 1680 denier ballistic…",1,5,true
Cortech,Cortech Super 2.0 Tail Bag,Luggage,Accessories,Luggage,Accessories > Luggage,Brand selection: Cortech (score 44),High,Single variant,Unique,High,Medium,13500,cortech-super-2-0-tail-bag,Cortech Super 2.0 Tail Bag,cortech-super-2-0-tail-bag,• 1680 denier ballistic polyester and 1800 denier three-lined twill Jacquard weave side pockets with a polyester backing • 1680 denier ballistic polyester and 1800 denier three-lined twill Jacquard weave side pockets with a polyester backing. • Removable neoprene base. • Two-tone red and black soft interior lining. • Quick-release mounting system with storage pockets for mounting straps when not in use.,Buy Cortech Super 2.0 Tail Bag | Mile 27 Store,1680 denier ballistic polyester and 1800 denier three-lined twill Jacquard weave side pockets with a polyester backing 1680 denier ballistic polyester and…,1,5,true
Cortech,Cortech Super 2.0 Low Profile Tank Bag,Luggage,Accessories,Luggage,Accessories > Luggage,Brand selection: Cortech (score 44),High,Single variant,Unique,High,Medium,10000,cortech-super-2-0-low-profile-tank-bag,Cortech Super 2.0 Low Profile Tank Bag,cortech-super-2-0-low-profile-tank-bag,Cortech Super 2.0 Low Profile Tankbag • 1680 denier ballistic polyester and 1800 denier three-lined twill Jacquard construction. • 10 liters expanded (5 liters with expansion closed). • One-Way zipper. • Removable and replaceable map pocket.,Buy Cortech Super 2.0 Low Profile Tank Bag | Mile 27 Store,Cortech Super 2.0 Low Profile Tankbag 1680 denier ballistic polyester and 1800 denier three-lined twill Jacquard construction. 10 liters expanded (5…,1,4,true
IXON,Ixon R-Tension 23 Backpack,Luggage,Accessories,Luggage,Accessories > Luggage,Brand selection: IXON (score 54),High,Keep 2 variants (sizes/colours),Unique,Medium,Medium,8500,ixon-r-tension-23-backpack,Ixon R-Tension 23 Backpack,ixon-r-tension-23-backpack,With the Ixon V-Carrier backpack you have your most important utensils on the road always with you. • capacity 23 L (44x32x16 cm). • large main entry with double zip puller. • large foamed pocket for laptop and organizer. • pocket with mesh net pocket. Available in multiple sizes and/or colours — select your variant.,Buy Ixon R-Tension 23 Backpack | Mile 27 Store,With the Ixon V-Carrier backpack you have your most important utensils on the road always with you. capacity 23 L (44x32x16 cm). large main entry with…,2,5,true
Joe Rocket,Joe Rocket Manta Carbon Tank Bag,Luggage,Accessories,Luggage,Accessories > Luggage,Brand selection: Joe Rocket (score 39),High,Single variant,Unique,Medium,Medium,7000,joe-rocket-manta-carbon-tank-bag,Joe Rocket Manta Carbon Tank Bag,joe-rocket-manta-carbon-tank-bag,"Joe Rocket Manta Carbon Tank Bag • Wind/water resistant Rock Tex 680 construction. • Magnetic mount system. • Belt buckle guard. • External, quick access smart phone pocket.",Buy Joe Rocket Manta Carbon Tank Bag | Mile 27 Store,"Joe Rocket Manta Carbon Tank Bag Wind/water resistant Rock Tex 680 construction. Magnetic mount system. Belt buckle guard. External, quick access smart…",1,2,true
Kriega,Kriega US-Combo 40 Tail Bag,Luggage,Accessories,Luggage,Accessories > Luggage,Brand selection: Kriega (score 31),High,Single variant,Unique,High,Medium,63000,kriega-us-combo-40-tail-bag,Kriega US-Combo 40 Tail Bag,kriega-us-combo-40-tail-bag,"The US-Combo 40 is a 40-litre capacity modular tail pack system, guaranteed to provide all weather protection for your gear on any type of motorcycle.…",Buy Kriega US-Combo 40 Tail Bag | Mile 27 Store,"The US-Combo 40 is a 40-litre capacity modular tail pack system, guaranteed to provide all weather protection for your gear on any type of motorcycle.…",1,4,false
Kriega,Kriega TRAIL18 Adventure Backpack,Luggage,Accessories,Luggage,Accessories > Luggage,Brand selection: Kriega (score 54),High,Keep 3 variants (sizes/colours),Unique,High,Medium,35000,kriega-trail18-adventure-backpack,Kriega TRAIL18 Adventure Backpack,kriega-trail18-adventure-backpack,"All-weather adventure touring demands robust, reliable equipment. The TRAIL18 Adventure Backpack utilises Kriega’s groundbreaking Quadloc-Lite™ harness, combined with high-tech construction materials to meet the needs… • QUADLOC-Lite™ harness transfers weight from the shoulders to the chest and body, giving all-day riding comfort, even with heavy loads.. • Ultra-durable 420D Cordura® Lite Plus and Hypalon construction.. • Air-mesh back panel for rider comfort.. • YKK® heavy-duty zips throughout.",Buy Kriega TRAIL18 Adventure Backpack | Mile 27 Store,"All-weather adventure touring demands robust, reliable equipment. The TRAIL18 Adventure Backpack utilises Kriega’s groundbreaking Quadloc-Lite™ harness,…",3,9,true
Kriega,Kriega R25 Backpack,Luggage,Accessories,Luggage,Accessories > Luggage,Brand selection: Kriega (score 44),High,Single variant,Unique,High,Medium,29300,kriega-r25-backpack,Kriega R25 Backpack,kriega-r25-backpack,"The Kriega R25 motorcycle backpack has a quick release QUADLOC harness, which is Kriega's own tried, tested and highly recommended system, unique to the rucksack… • Main compartment  - YKK oversize zip. • Side access pocket with 4-point load compression. • Internal magazine sleeve, which can accommodate a 14"" laptop. • Internal key-clip.",Buy Kriega R25 Backpack | Mile 27 Store,"The Kriega R25 motorcycle backpack has a quick release QUADLOC harness, which is Kriega's own tried, tested and highly recommended system, unique to the…",1,4,true
Kriega,Kriega US-30 Drypack,Luggage,Accessories,Luggage,Accessories > Luggage,Brand selection: Kriega (score 31),High,Single variant,Unique,High,Medium,29000,kriega-us-30-drypack,Kriega US-30 Drypack,kriega-us-30-drypack,"Our best selling US-Drypack System has led the way for universal-fit, waterproof carrying on a motorcycle for over 15 years. Now the classic design has…",Buy Kriega US-30 Drypack | Mile 27 Store,"Our best selling US-Drypack System has led the way for universal-fit, waterproof carrying on a motorcycle for over 15 years. Now the classic design has…",1,5,false
Kriega,Kriega TRAIL9 Adventure Backpack,Luggage,Accessories,Luggage,Accessories > Luggage,Brand selection: Kriega (score 41),High,Keep 3 variants (sizes/colours),Unique,High,Medium,27000,kriega-trail9-adventure-backpack,Kriega TRAIL9 Adventure Backpack,kriega-trail9-adventure-backpack,"A compact dual-sport/adventure backpack the TRAIL9 has the perfect combination of a 4-litre waterproof roll-top main body and a separate 5-litre zip-access hydration compartment, with… Available in multiple sizes and/or colours — select your variant.",Buy Kriega TRAIL9 Adventure Backpack | Mile 27 Store,A compact dual-sport/adventure backpack the TRAIL9 has the perfect combination of a 4-litre waterproof roll-top main body and a separate 5-litre…,3,7,false
Kriega,Kriega US-20 Drypack,Luggage,Accessories,Luggage,Accessories > Luggage,Brand selection: Kriega (score 31),High,Single variant,Unique,High,Medium,25000,kriega-us-20-drypack-1,Kriega US-20 Drypack,kriega-us-20-drypack-1,"Our best selling US-Drypack System has led the way for universal-fit, waterproof carrying on a motorcycle for over 15 years. Now the classic design has…",Buy Kriega US-20 Drypack | Mile 27 Store,"Our best selling US-Drypack System has led the way for universal-fit, waterproof carrying on a motorcycle for over 15 years. Now the classic design has…",1,6,false
